,Axis1,Axis2,Axis3
386,1.5234375,0.83569336,1.72119141
387,-1.76757813,1.4921875,1.73632813
388,1.36254883,0.99365235,-1.90649415
389,1.4194336,-1.78613282,1.45092774
390,0.87402344,1.22021485,1.45800782
391,0.28759766,-1.59179688,1.19042969
392,1.81933594,0.68554688,1.53637696
393,1.6315918,-1.82910157,1.90942383
394,1.6303711,1.10522461,1.74707032
395,1.6394043,1.18481446,1.71411133
396,1.62670899,1.11450196,1.78857422
397,1.60644532,1.0444336,-1.76000977
398,1.59741211,1.08496094,1.82128907
399,1.58740235,1.11499024,1.77807618
400,1.26098633,0.18872071,1.80322266
401,1.49145508,0.84033204,-1.99072266
402,1.60839844,1.05078125,1.77661133
403,1.61499024,1.07543946,1.84643555
404,1.62670899,1.15942383,1.84155274
405,1.58056641,1.04223633,1.87646485
406,1.59106446,1.09863282,1.85278321
407,1.60791016,1.09814454,1.88891602
408,1.56494141,1.11108399,1.88671875
409,1.57202149,1.10766602,1.81347657
410,1.57128907,1.1171875,1.8491211
411,1.51464844,1.01879883,1.87280274
412,1.63403321,0.84936524,1.89428711
413,-1.76538086,1.09765625,1.61840821
414,1.21020508,0.31762696,1.18090821
415,1.69189454,0.00805665,1.40063477
416,1.38403321,1.48046875,-1.96557618
417,-1.80639649,0.65283204,-1.75512696
418,1.87866211,1.03881836,-1.9975586
419,-1.78125,1.3400879,1.35864258
420,1.23779297,0.43139649,1.27856446
421,-1.875,-1.875,-1.94116211
422,-1.875,-1.875,-1.77954102
423,0.72583008,-0.45922852,-1.46533204
424,0.46411133,0.26342774,-1.875
425,1.40551758,-1.875,-1.84838868
426,1.53442383,0.86621094,1.79345704
427,1.67358399,1.13305665,1.67407227
428,1.62353516,1.02416993,1.7878418
429,1.58959961,1.09594727,1.80175782
430,1.63232422,1.12207032,1.78076172
431,1.5925293,1.10644532,1.77856446
432,1.54663086,1.12426758,1.78320313
433,1.57373047,1.11791993,1.78759766
434,1.54833985,1.12841797,1.76660157
435,1.53759766,1.09082032,1.77807618
436,1.48022461,1.11669922,1.78100586
437,1.49121094,0.98291016,1.76660157
438,1.63085938,0.83618165,1.83251954
439,1.60131836,1.51806641,1.87060547
440,1.18237305,-1.875,1.1135254
441,1.20947266,-1.875,0.91381836
442,0.87304688,0.54882813,-1.95385743
443,1.89160157,1.49853516,-1.97192383
444,1.80200196,1.01220704,1.81225586
445,1.68457032,1.40405274,1.07739258
446,1.5119629,0.73095704,1.29418946
447,0.04199219,-1.875,-1.9506836
448,-1.875,0.11962891,1.62353516
449,0.01513672,-0.61425782,-1.97192383
450,0.31518555,-0.44238282,-1.5288086
451,-1.875,-1.39355469,1.25952149
452,1.78491211,-1.97485352,1.86816407
453,1.25366211,1.04394532,1.82739258
454,-1.77612305,0.86621094,1.72802735
455,1.61743165,0.99267579,1.81835938
456,1.66479493,1.07153321,1.8112793
457,1.60278321,1.03491211,1.75976563
458,1.5900879,1.05371094,1.7854004
459,1.66015625,1.13671875,1.8088379
460,1.61425782,1.09082032,1.79028321
461,1.60375977,1.0979004,1.79174805
462,1.59936524,1.11254883,1.76831055
463,1.55419922,-1.80615235,1.82470704
464,1.55712891,1.00439454,1.78857422
465,1.5756836,0.9260254,1.82666016
466,1.60498047,1.6916504,1.86254883
467,1.08813477,0.37207032,1.26782227
468,1.13232422,-1.875,1.28271485
469,0.7409668,0.55639649,1.97192383
470,-1.76928711,-1.79833985,-1.59985352
471,1.75952149,1.09106446,1.64916993
472,1.60009766,1.43359375,1.0991211
473,1.33422852,0.87231446,1.11816407
474,-1.24267579,0.55151368,-1.0288086
475,0.15844727,1.80737305,1.18188477
476,0.37011719,1.98632813,1.39404297
477,0.4116211,-1.04980469,1.79174805
478,1.06958008,-1.6057129,-1.66918946
479,-1.56762696,-1.12597657,-1.82495118
480,-1.75903321,-1.3659668,1.87744141
481,1.17700196,1.78735352,1.29980469
482,1.65600586,1.21313477,1.60009766
483,1.70043946,1.1147461,1.77148438
484,-1.77270508,1.07373047,1.80834961
485,1.64501954,1.08984375,1.75170899
486,1.57519532,1.10083008,1.80517579
487,1.64013672,1.07788086,1.76245118
488,1.58862305,1.0432129,1.79931641
489,1.61889649,-1.80664063,1.78808594
490,1.60009766,1.06469727,1.7854004
491,1.62695313,1.09204102,1.79467774
492,1.61767579,1.0991211,1.79052735
493,1.52148438,1.07495118,1.77783204
494,1.53076172,1.09814454,1.75756836
495,1.4650879,0.98535157,1.81738282
496,1.47680665,1.05981446,1.79125977
497,1.39672852,1.20947266,1.72802735
498,1.27050782,1.13793946,1.71533204
499,1.1291504,0.74853516,1.51245118
500,-1.76953125,-1.80297852,1.77270508
501,1.6015625,1.04663086,1.85668946
502,1.66357422,1.06933594,1.7734375
503,1.67358399,1.07958985,1.80761719
504,1.65063477,1.11499024,1.80395508
505,1.55810547,1.01733399,1.77929688
506,1.6147461,-1.80688477,1.75488282
507,1.54833985,1.05371094,1.77514649
508,1.5053711,0.95019532,1.82250977
509,1.79394532,1.07592774,1.77319336
510,1.25903321,0.68310547,1.17626954
511,1.2788086,0.99462891,-1.78833008
512,1.7006836,1.12768555,1.52416993
513,-1.984375,0.30590821,1.97924805
514,-1.80688477,-1.79736329,-1.92626954
515,1.72265625,-1.81689454,-1.77270508
516,1.44677735,1.12841797,1.02124024
517,-1.84497071,1.4038086,-1.875
518,0.61059571,-0.98779297,1.45117188
519,-1.875,-1.53027344,1.40405274
520,0.59057618,-6.104e-05,-0.99536133
521,1.36547852,-0.37695313,-1.87719727
522,1.8479004,1.40014649,-1.91235352
523,-1.76953125,0.70996094,1.6472168
524,1.68041993,1.05541993,1.77441407
525,1.6616211,-1.80786133,1.80908204
526,-1.77124024,1.08056641,1.81030274
527,1.62011719,1.05908204,1.80615235
528,1.62744141,1.11132813,1.78344727
529,1.60449219,1.11962891,1.80297852
530,-1.77514649,-1.80566407,1.78686524
531,1.56640625,1.1237793,1.78247071
532,1.57153321,1.03857422,-1.75952149
533,1.63012696,0.82397461,1.87182618
534,1.97973633,1.1550293,1.80908204
535,1.17626954,-1.875,1.33813477
536,1.39819336,-1.875,1.60766602
537,-1.95629883,1.57128907,-1.76367188
538,-1.79052735,0.82983399,1.90844727
539,1.80590821,0.94897461,1.66308594
540,-1.77465821,1.26733399,1.10302735
541,1.4921875,0.74169922,1.0546875
542,-1.875,-1.875,-1.69726563
543,-1.875,0.32275391,-1.57470704
544,-1.875,-0.42626954,-1.68872071
545,-1.875,-1.875,-1.875
546,0.39526368,-1.875,1.79101563
547,-1.76733399,0.74072266,1.88183594
548,1.56860352,0.9140625,1.83959961
549,1.62890625,1.05834961,1.7631836
550,1.63574219,1.16577149,1.73999024
551,1.6057129,1.08203125,1.82104493
552,1.60400391,1.09277344,1.79467774
553,1.58862305,1.1057129,1.77929688
554,1.57958985,1.13769532,1.77172852
555,1.55688477,1.1171875,1.78320313
556,1.50903321,1.13403321,1.78686524
557,1.5390625,0.79882813,1.82543946
558,1.67456055,1.08203125,1.72119141
559,0.63403321,-1.86254883,0.9296875
560,0.55541993,-1.875,1.2709961
561,0.19580079,0.79980469,-1.6850586
562,-1.93090821,1.88867188,-1.6694336
563,1.88525391,1.01660157,1.99023438
564,-1.78149415,1.13964844,1.49047852
565,1.39550782,0.81640625,1.15332032
566,-1.875,-1.875,-1.75512696
567,-1.875,-1.49731446,-1.57495118
568,-1.875,-0.6994629,-1.97558594
569,-1.875,-1.875,-1.875
570,-1.89770508,-1.875,-1.31469727
571,1.71533204,1.11962891,1.91381836
572,1.67358399,1.01245118,1.80444336
573,1.64746094,1.07250977,1.80444336
574,-1.77294922,1.06616211,1.81030274
575,1.6015625,1.1328125,1.78759766
576,1.58325196,1.04931641,1.77587891
577,1.58081055,1.11230469,1.79394532
578,1.59619141,1.11206055,1.78051758
579,1.56835938,1.10473633,1.78442383
580,1.50170899,1.07177735,1.77832032
581,1.47973633,0.94018555,1.81225586
582,1.68432618,0.92163086,1.79589844
583,1.04492188,0.58813477,1.42382813
584,1.29614258,0.50195313,1.15454102
585,1.66674805,1.49121094,0.86767579
586,-1.8972168,1.24853516,-1.74609375
587,-1.75341797,0.56372071,-1.97998047
588,1.54028321,0.83813477,1.72314454
589,1.48144532,1.36523438,1.10327149
590,1.25830079,0.47705079,1.16650391
591,0.23339844,-1.875,-1.79711915
592,-1.875,-1.875,-1.63305665
593,-1.875,-1.31762696,-1.4609375
594,0.81445313,-1.875,-1.875
595,0.41625977,-1.875,1.57543946
596,1.79272461,0.50341797,1.43212891
597,1.6862793,1.22436524,-1.76220704
598,1.68701172,1.04174805,1.74731446
599,1.65771485,1.1069336,1.81420899
600,1.20019532,1.25219727,-1.94995118
601,1.63012696,1.03833008,1.73999024
602,1.63647461,1.08715821,1.79223633
603,1.60522461,1.09887696,1.8112793
604,1.60644532,1.08129883,1.82104493
605,1.59570313,1.09863282,1.78686524
606,1.57202149,1.08789063,1.79907227
607,1.61035157,1.13134766,1.7878418
608,1.56054688,1.08959961,1.82153321
609,1.52929688,0.96435547,1.79907227
610,1.5588379,-1.81469727,1.82397461
611,1.80590821,1.0822754,1.85058594
612,1.15478516,0.26855469,1.39306641
613,0.80493165,0.48901368,1.40014649
614,1.42993165,0.89257813,1.67797852
615,-1.88623047,0.45654297,-1.7619629
616,1.89160157,1.16064454,1.83666993
617,1.62109375,1.45263672,1.13793946
