Label,Label,Axis1,Axis2,Axis3,date_hour,date_minute,date_second
CZ,3,4.900781,-4.3845315,-1.8471266,17,41,46
CZ,3,6.8783917,-2.0334253,-3.027468,17,41,46
CZ,3,13.373861,2.8746881,-5.0026846,17,41,46
CZ,3,13.800029,-3.2879872,-1.0570401,17,41,46
CZ,3,10.725874,1.1436802,-0.001197101,17,41,46
CZ,3,9.930999,0.5068226,-1.0426749,17,41,46
CZ,3,9.935787,-0.92969847,-1.2485762,17,41,46
CZ,3,10.323648,-1.4923358,-0.78649527,17,41,46
CZ,3,9.74904,-2.6870425,-1.5693992,17,41,46
CZ,3,7.917475,-7.4826283,-1.5478514,17,41,46
CZ,3,14.717009,-4.497059,4.712986,17,41,46
CZ,3,19.718496,13.030891,-13.059174,17,41,46
CZ,3,18.021006,-6.78831,-11.495759,17,41,46
CZ,3,6.691644,-4.999841,-8.371326,17,41,46
CZ,3,4.314202,-2.9168859,-3.6260185,17,41,46
CZ,3,5.3796215,-0.5538088,-4.5645456,17,41,46
CZ,3,16.13677,-3.297564,-0.8511387,17,41,45
CZ,3,10.716297,-0.35987845,-0.7098808,17,41,45
CZ,3,9.91424,-1.2050316,-1.2318168,17,41,45
CZ,3,9.423429,-1.1595418,-1.1192893,17,41,44
CZ,3,10.39308,-3.180248,-0.760159,17,41,44
CZ,3,14.05142,-2.6990135,-2.8574798,17,41,44
CZ,3,19.718496,9.030181,-1.7848774,17,41,44
CZ,3,19.718496,19.519178,-17.495628,17,41,44
CZ,3,16.081703,-5.279963,-2.5390508,17,41,44
CZ,3,3.1003416,-4.7987285,-1.423353,17,41,44
CZ,3,0.7803601,-8.959851,4.1096473,17,41,44
CZ,3,14.717009,0.89707744,-17.35437,17,41,44
CZ,3,18.839823,-8.627057,-2.7449522,17,41,44
CZ,3,12.289288,-1.9400516,-2.7952304,17,41,43
CZ,3,9.7897415,-1.1547534,-1.2844892,17,41,43
CZ,3,9.983671,-1.0805331,-1.9620483,17,41,43
CZ,3,10.316465,-2.4117093,-2.0841527,17,41,43
CZ,3,8.25027,-1.8299183,-2.5582044,17,41,43
CZ,3,5.506514,-7.030124,0.09696517,17,41,43
CZ,3,8.2454815,-15.136891,7.801506,17,41,43
CZ,3,19.718496,19.519178,-19.74139,17,41,43
