Label,Axis1,Axis2,Axis3,time
3,4.553622,-8.30384,2.055422,63672
3,15.16233,3.9496846,-11.931504,63672
3,18.583645,-5.718102,-4.0880995,63672
3,10.9365635,-0.8818144,-2.220622,63672
3,10.39308,-0.4412813,-1.2150574,63672
3,-0.79741883,-1.8945618,1.0809821,63673
3,6.557569,-0.74055654,-9.688137,63673
3,16.081703,-10.894366,-1.2270284,63673
3,12.406604,-0.63281745,-2.2014685,63673
3,11.286118,0.49006316,-0.35314476,63673
3,10.294918,-0.7166145,-2.6491842,63673
3,9.655665,-1.1595418,-1.5622166,63673
3,10.682778,-2.9216743,-0.40102878,63673
3,15.741727,-2.8737903,-3.762488,63673
3,19.155859,9.880122,-5.0146556,63673
3,14.333936,19.519178,-17.229872,63673
3,19.718496,-2.8522425,-5.4791307,63673
3,9.725098,-4.3629837,1.34195,63673
3,4.661361,-5.426009,1.7082629,63673
3,4.137031,-7.4874167,0.01316811,63673
3,11.776929,1.2657845,-2.5917234,63673
3,15.164724,-2.9001265,-3.3722332,63673
3,11.187955,-0.34790742,-1.0905589,63673
3,9.938182,-1.6311996,-1.8950106,63673
3,10.196755,-1.1834838,-1.5167267,63674
3,8.788965,-1.4636054,-1.9812019,63674
3,5.812972,-3.8745666,-0.79846627,63674
3,-1.3863925,-15.091401,-1.471237,63674
3,15.813553,-19.706823,19.092562,63674
3,19.718496,19.519178,-18.070238,63674
3,17.297958,-4.568885,-1.1456255,63674
3,6.80896,-2.2105963,0.9756372,63674
3,19.718496,10.90484,-10.43034,63675
3,16.400131,9.09243,-13.030443,63675
3,19.718496,0.86116445,-4.724957,63675
3,10.390686,-2.766051,-1.2605472,63675
3,4.706851,-2.4835353,-2.5127146,63675
3,1.9200001,-11.686847,3.606865,63675
3,15.586103,4.3399396,-10.018537,63675
3,16.790386,-4.8705544,-2.6300306,63675
3,10.974871,-0.1491887,-0.9660604,63675
3,9.7897415,-2.086098,-2.1775265,63675
3,-4.831649,-11.066749,1.0546459,63676
3,19.718496,-19.706823,19.092562,63676
3,19.718496,13.502549,-9.51336,63676
3,18.83743,-3.714155,1.6651673,63676
3,7.8360724,-2.6056397,0.8295909,63676
3,-0.9698013,-0.35509005,0.1448492,63676
3,7.5703163,-0.3143886,-3.6499605,63676
3,19.718496,-12.678046,-0.35553896,63676
3,11.719468,-0.1515829,-1.9333179,63676
3,9.526379,-0.015113398,-1.9692309,63676
3,10.488848,0.07347207,-1.9788077,63676
3,9.636512,-2.7253497,-2.4265234,63676
3,12.35872,-3.5417726,-1.2868834,63676
3,17.125576,-0.7812579,-5.380968,63676
3,9.399487,-1.042226,-1.7896658,63677
3,6.1242185,-0.32635963,-1.6220716,63677
3,-3.4262524,11.314249,-18.671183,63677
3,11.094581,19.519178,-12.793417,63677
3,19.718496,-4.511424,-6.4248405,63677
3,13.129652,-3.6566942,-0.5566519,63677
3,5.0923176,-4.4108677,0.2813187,63677
3,4.912752,-5.993435,-2.3570917,63677
3,13.393015,-1.3007997,-1.8567034,63677
3,14.618846,-2.7684453,-3.8271315,63677
3,10.728269,-0.65915364,-1.0354922,63677
3,10.316465,-0.8435072,-1.2318168,63677
3,10.141688,-1.0709563,-1.5885528,63677
3,9.109788,-1.7054198,-1.4760253,63677
3,4.9893665,-1.1332055,-2.0147207,63677
3,9.461736,-4.2049665,-0.4225766,63678
3,8.98529,-4.2432737,-0.45130703,63678
3,19.718496,-6.8768954,1.3204023,63678
3,9.579051,-5.921609,7.574057,63678
3,19.718496,3.3343747,-9.36492,63678
3,11.563845,-4.1810246,0.7745243,63678
3,9.928605,-1.4659996,-1.4688427,63678
3,3.8569093,-3.7333086,-0.17357962,63678
3,10.608558,-1.1547534,-0.664391,63678
3,11.4537115,-1.4875474,-2.7329812,63678
3,2.1402667,-8.145823,0.07062895,63678
3,15.710602,3.2002995,-8.799889,63678
3,15.85186,-6.017377,-2.3594859,63678
3,10.563068,-1.4779706,-1.2246342,63678
3,16.993895,7.773225,-1.1911154,63679
3,19.718496,14.508114,-8.862138,63679
3,12.669966,-4.1690536,-0.8319851,63679
3,4.8912044,-4.331859,-1.0474633,63679
3,0.7516297,-9.163358,2.4983494,63679
3,13.452869,-1.6240169,-8.01459,63679
3,15.365837,-4.4060793,-2.895787,63679
3,11.527931,-0.25692776,-0.8367735,63679
3,11.140071,-0.94166946,-0.81043726,63679
3,9.844808,-2.2369325,-1.6819267,63679
3,16.196625,1.5602713,-3.750517,63680
3,19.718496,19.519178,-20.13344,63680
3,15.801581,19.519178,-9.288305,63680
3,19.718496,0.25303718,2.8455088,63680
3,6.583905,-2.9120975,0.24540567,63680
3,-1.8077719,-2.5362077,-1.7441759,63680
3,5.5448213,-0.22101474,-10.506954,63680
3,17.819893,-11.758673,0.40581718,63680
3,14.738556,-2.3566427,-2.3403323,63680
3,11.925369,-1.0015244,0.5446809,63680
3,9.928605,-1.3127707,-1.3323733,63680
3,9.205556,-3.2616508,-1.3970166,63680
3,9.365968,-2.1507413,-1.2653356,63680
3,8.63813,-4.5617023,-0.48961425,63680
3,14.966005,1.1341034,-6.6427126,63680
3,5.2263927,-4.997447,0.39624038,63681
3,1.7787422,-9.074773,5.864597,63681
3,17.472734,-1.458817,-3.7337575,63681
3,18.138323,-8.153005,-3.0538042,63681
3,12.543073,-2.4284687,-3.0897174,63681
3,10.9365635,-0.41015667,-1.401805,63681
3,9.691579,-1.4205098,-1.8327614,63681
3,8.884733,-4.257639,-2.5007436,63681
3,11.527931,-3.1539118,-3.3985693,63681
3,6.1242185,-7.3389764,0.4345476,63682
3,-0.42152914,-6.809858,-3.2956185,63682
3,14.137611,-1.4636054,-12.982558,63682
3,17.482311,-5.816264,-1.2030864,63682
3,12.241404,-3.5321958,-3.441665,63682
3,10.390686,-1.2624925,-0.7410054,63682
3,10.014796,-1.5138837,-0.93014735,63682
3,11.140071,-4.971111,-2.1990743,63682
3,10.115353,-1.9735703,-2.7234044,63682
3,5.2862477,-4.2025723,-0.08020575,63682
3,-1.3169606,-8.667758,-1.7633295,63682
3,19.718496,19.519178,-13.320141,63682
3,14.369849,-1.1427824,-5.1966147,63682
3,7.517644,-3.6255696,0.7649474,63683
3,2.2791305,-1.6096517,1.5813702,63683
3,7.7642465,-4.391714,-3.1376014,63683
3,11.944523,-4.341436,-2.1416135,63683
3,12.679543,-2.0645502,-2.6563668,63683
3,11.4297695,-0.1731307,-0.49440265,63683
3,10.419416,-1.3845968,-1.5119383,63683
3,9.397092,-2.6511295,-1.8495208,63683
3,9.37315,-3.2927756,-0.08499416,63683
3,7.8097363,-4.6311345,0.6356605,63683
3,11.216685,-9.431509,3.5446155,63683
3,19.718496,-13.022811,11.979388,63683
3,19.718496,9.504232,-14.177265,63683
3,12.509554,-3.726126,-0.94930094,63683
3,14.604481,-19.706823,19.092562,63684
3,18.801516,19.519178,-11.43351,63684
3,19.100792,-4.7364793,-0.44651863,63684
3,7.5990467,-3.0222306,0.8439561,63684
3,1.8864813,-2.7612627,3.8175547,63684
3,9.411457,-4.037372,-6.9946604,63684
3,15.751304,-8.58875,-3.3291376,63684
3,11.010784,-1.6168343,-2.421735,63684
3,10.510396,-0.5777508,-0.7194576,63684
3,10.43857,-1.0134956,-1.8303672,63684
3,10.194361,-2.0573676,-1.6915035,63684
3,11.228657,-0.1491887,-2.2996306,63684
3,9.100211,1.3136685,-1.3347675,63684
3,-6.0981812,8.853009,-12.491747,63684
3,11.970859,19.519178,-8.780735,63684
3,19.718496,-4.1810246,-0.7745243,63684
3,16.33549,-4.4946647,-0.9804256,63685
3,5.7459345,-4.0397663,0.10175357,63685
3,1.1730092,-7.9494977,1.6723499,63685
3,19.593998,3.0925603,-9.848549,63685
3,18.150293,-6.443545,-3.606865,63685
3,12.229433,-1.4492402,-2.658761,63685
3,10.484059,-0.53704935,-0.78649527,63685
3,10.280553,0.3847183,-1.2198458,63685
3,9.258228,-1.9232922,-0.89423436,63685
3,7.876774,-6.0269537,-0.59495914,63685
3,-0.40955812,-11.67727,0.61411273,63685
3,2.025345,-6.656629,0.7194576,63686
3,16.012272,4.7158294,-9.51336,63686
3,19.589209,-5.720496,-3.276465,63686
3,10.579827,-0.1515829,-1.863886,63686
3,9.854384,-0.11088146,-0.88944596,63686
3,10.242246,-1.3151649,-1.0450691,63686
